iyear,imonth,iday,region_txt,country_txt,latitude,longitude,nwound,nkill
2001,8,28,South America,Colombia,0.884572,-77.503387,0.0,0.0
2001,8,28,South America,Colombia,11.30613,-72.34137,0.0,0.0
2001,8,29,South America,Colombia,7.48008,-73.92076,0.0,0.0
2001,8,29,South America,Colombia,5.548323,-75.6441,0.0,5.0
2001,8,29,South America,Chile,-33.366238,-70.505302,0.0,0.0
2001,8,29,South America,Colombia,8.63781,-72.73464,0.0,0.0
2001,8,29,South America,Colombia,10.195424,-73.972736,0.0,0.0
2001,8,30,South America,Colombia,1.90967,-75.15906,0.0,1.0
2001,8,30,South America,Colombia,1.637898,-77.745208,0.0,7.0
2001,8,30,South America,Colombia,6.13091,-72.70866,0.0,1.0
2001,8,30,South America,Colombia,7.86424,-72.7172,0.0,0.0
2001,8,31,South America,Colombia,7.131202,-73.124973,0.0,0.0
2001,9,1,North America,Mexico,19.371887,-99.086624,0.0,0.0
2001,9,1,South America,Colombia,7.06749,-73.16942,0.0,1.0
2001,9,2,South America,Colombia,4.330762,-73.862957,0.0,0.0
2001,9,3,South America,Colombia,1.71204,-76.02544,6.0,4.0
2001,9,6,South America,Colombia,4.667128,-74.106056,0.0,1.0
2001,9,8,North America,United States,32.222232,-110.925752,0.0,0.0
2001,9,11,North America,United States,40.697132,-73.931351,8190.0,1384.0
2001,9,11,North America,United States,40.697132,-73.931351,8191.0,1383.0
2001,9,11,North America,United States,38.878742,-77.100006,106.0,190.0
2001,9,11,North America,United States,40.018464,-78.907197,6.0,44.0
2001,9,14,South America,Colombia,10.47692,-73.25049,0.0,0.0
2001,9,14,South America,Colombia,8.41759,-73.796322,0.0,0.0
2001,9,16,South America,Colombia,5.12379,-74.95201,2.0,11.0
2001,9,19,South America,Colombia,1.807411,-78.763753,0.0,1.0
2001,9,19,South America,Colombia,7.894195,-72.503885,1.0,1.0
2001,9,20,North America,United States,32.89925,-105.960323,0.0,0.0
2001,9,23,South America,Colombia,6.270526,-75.572173,0.0,0.0
2001,9,24,South America,Colombia,10.47692,-73.25049,0.0,1.0
2001,9,27,South America,Colombia,2.64934,-75.636802,0.0,0.0
2001,9,27,South America,Chile,-33.366238,-70.505302,0.0,0.0
2001,10,2,North America,United States,26.368306,-80.128932,5.0,1.0
2001,10,2,South America,Colombia,5.82696,-73.03441,1.0,0.0
2001,10,3,South America,Brazil,-16.465735,-54.638748,0.0,0.0
2001,10,7,South America,Colombia,1.67155,-78.14099,0.0,2.0
2001,10,7,South America,Colombia,11.24725,-74.20166,0.0,6.0
2001,10,8,South America,Colombia,4.667128,-74.106056,0.0,1.0
2001,10,9,North America,United States,38.908642,-77.015381,1.0,2.0
2001,10,10,South America,Colombia,3.899723,-76.302032,0.0,24.0
2001,10,11,South America,Colombia,1.47888,-75.43724,0.0,5.0
2001,11,10,South America,Colombia,1.61456,-75.6053,0.0,2.0
2001,11,10,South America,Colombia,6.81429,-75.2406,0.0,0.0
2001,11,10,South America,Colombia,7.7833,-73.73329,0.0,12.0
2001,10,12,North America,United States,40.697132,-73.931351,6.0,0.0
2001,10,14,South America,Colombia,5.067866,-75.517482,0.0,4.0
2001,10,15,North America,United States,38.908642,-77.015381,6.0,2.0
2001,10,15,North America,United States,40.697132,-73.931351,1.0,0.0
2001,10,15,North America,United States,39.527395,-119.813414,0.0,0.0
2001,10,15,North America,United States,40.38146,-120.383169,0.0,0.0
2001,10,16,South America,Colombia,8.95736,-73.62346,0.0,1.0
2001,10,17,North America,United States,40.697132,-73.931351,0.0,0.0
2001,10,18,North America,United States,40.697132,-73.931351,1.0,0.0
2001,10,18,South America,Brazil,-22.908278,-43.197026,0.0,0.0
2001,10,19,North America,United States,40.697132,-73.931351,2.0,0.0
2001,10,19,North America,Mexico,19.371887,-99.086624,0.0,1.0
2001,10,20,South America,Colombia,6.37808,-75.142101,0.0,10.0
2001,10,21,South America,Colombia,6.21723,-75.24309,2.0,5.0
2001,10,27,South America,Colombia,9.3625,-73.60158,0.0,5.0
2001,10,28,South America,Colombia,5.69224,-76.658093,0.0,1.0
2001,10,29,North America,United States,40.697132,-73.931351,0.0,1.0
2001,11,1,South America,Colombia,7.894195,-72.503885,0.0,1.0
2001,11,4,South America,Colombia,6.09188,-75.63615,0.0,0.0
2001,11,3,South America,Colombia,5.758927,-71.572395,0.0,0.0
2001,11,5,North America,United States,47.117051,-88.544531,0.0,0.0
2001,11,5,North America,United States,47.12186,-88.570024,0.0,0.0
